,psnr,ssim,lpips,drmse,compute_time
td1_rend1,17.676597401572845,0.4815086414508871,0.5286952498634545,59.33096928027038,0.43723756906112426
,,,,,
td2_rend1,17.66973325275105,0.4816424190838265,0.528948349878192,59.32659063961293,2.2334201822619466
td2_rend2,17.04408548322655,0.45792719190554504,0.5435401974741877,59.472615868427944,0.4544778975421155
,,,,,
td3_rend3,16.659413381769216,0.4425357631061258,0.5531042844477163,59.52090570146574,0.9066792787194905
td3_rend6,15.94530754585983,0.41006883446159265,0.5698575302725111,59.49980750342507,0.514650849271026
,,,,,
td4_rend2,17.031581156464068,0.4572141771166029,0.5440322505604606,59.47387575464909,0.46196511214267394
td4_rend4,16.378138677252707,0.4298779454404572,0.5600465437375666,59.50704901631355,2.2450157631058465
td4_rend6,15.936353361348742,0.41010714087405936,0.5700814375303649,59.49551743526976,0.9729493636259818
td4_rend8,15.60718345146211,0.39384715174155904,0.5776027819070463,59.47761380028101,0.5331232167420887
